name,activity,governorate,phone
TUCAL,Transformation et conservation de tomates - Conservation et semi-conservation d'autres légumes - Transformation et conservation de fruits et légumes.,Manouba,(216) - 71 601 611
TUCOGRAS,Margarine.,Nabeul,(216) - 31 384 100 / 31 384 297
TUNEX AGRO,Conditionnement et entreposage frigorifique de fruits et de légumes.,Bizerte,(216) - 52 003 918
TUNIFOOD,"Transformation, conservation, congélation et surgélation poisson et fruits de mer.",Sfax,(216) - 70 108 171
TUNIFRIES,Pommes de terre.,Zaghouan,(216) - 36 010 892 / 72 641 031
TUNIFROM,"Laiteries, fromageries et yaourterie.",Ariana,(216) - 54 451 054 / 31 405 242
TUNIHUILE,Huiles d'olives et conditionnement.,Tunis,(216) - 71 950 940 / 71 397 500
TUNISEL,Production de sel.,Medenine,(216) - 71 951 316 / 97 383 352
TUNISIE BRICK,Pâtes alimentaires et couscous.,Ben Arous,(216) - 71 948 258 / 29 231 499
TUNISIE FRUITS,Jus de fruits et de légumes.,Nabeul,(216) - 71 434 048 / 72 333 211
TURKI DE SERVICES,Viandes de boucherie - Viandes de volailles et de lapins.,Ariana,(216) - 98 134 358 / 71 694 333
UNIVERS OIL,Huiles d'olives et conditionnement.,Sfax,(216) - 70 291 886
UNPA,Meunerie - Travail des grains (semoulerie ) - Pâtes alimentaires et couscous.,Sousse,(216) - 73 233 055
USINE CHENCHOU,Aliments pour animaux de ferme.,Gabes,(216) - 71 790 795 / 75 278 260
UTIQA FRUIT,Conditionnement et entreposage frigorifique de fruits et de légumes.,Bizerte,(216) - 72 494 064 / 53 220 665
VACPA,Conditionnement et entreposage frigorifique de fruits et de légumes.,Nabeul,(216) - 71 707 386 / 29 662 947
VAGA LAITIERE,"Laiteries, fromageries et yaourterie.",Beja,(216) - 98 375 806 / 99 806 130
VALOFISH TUNISIA,"Transformation, conservation, congélation et surgélation poisson et fruits de mer - Huiles et graisses brutes.",Sousse,(216) - 29 941 881 / 73 280 420
VILAVI,Glaces et sorbets.,Ben Arous,(216) - 98 334 462 / 79 408 952
VIPA,Condiments et assaisonnements.,Mahdia,(216) - 71 718 220 / 73 655 700
VITICOLE DE BIR DRASSEN,Vins de raisins frais.,Nabeul,(216) - 98 209 963 / 72 385 586
VOLAILLE DU KELIBIA,Viandes de volailles et de lapins.,Nabeul,(216) - 55 929 051
WALID FRIGORIFIQUE,Conditionnement et entreposage frigorifique de fruits et de légumes.,Siliana,(216) - 96 100 957
WISSEM KAMMOUN,Boulangerie.,Sfax,(216) - 98 418 572 / 24 536 000
YOULA POPCORN,Industries alimentaires n.c.a..,Beja,(216) - 93 409 777
YOUNES ET FRERES D'ENTREPOSAGE FRIGORIFIQUE,Conditionnement et entreposage frigorifique de fruits et de légumes.,Kasserine,(216) - 98 548 898
ZAYATI MOHAMED,Huiles d'olives et conditionnement.,Monastir,(216) - 72 587 447 / 73 587 447
ZEINA FOOD TUNISIA,Conditionnement et entreposage frigorifique de fruits et de légumes.,Nabeul,(216) - 31 171 596 / 58 481 184
ZITA,Huiles et graisses brutes - Huiles d'olives et conditionnement.,Manouba,(216) - 71 546 620
ZOUHAIER HELAL,Huiles d'olives et conditionnement.,Le kef,(216) - 78 262 349
ZOUHAIER HLEL,Aliments pour animaux de ferme.,Le kef,(216) - 78 262 349
ZOUHEIR MOUSSA ET FRERES,"Transformation, conservation, congélation et surgélation poisson et fruits de mer.",Mahdia,(216) - 73 690 858 / 96 581 175
ZOUIA DATTES,Conditionnement et entreposage frigorifique de fruits et de légumes.,Kebili,(216) - 98 232 242
ADAM SHOES,Chaussures industrielles en toutes matières.,Bizerte,(216) - 29 581 566
ADAMS,Chaussures industrielles en toutes matières.,Nabeul,(216) - 22 172 041
AF2,Fabrication d'articles de voyage et de maroquinerie.,Bizerte,(216) - 72 536 156 / 72 536 242
AFA SHOES,Chaussures industrielles en toutes matières.,Nabeul,(216) - 23 913 010
AFRICACORP,Chaussures industrielles en toutes matières.,Nabeul,(216) - 72 362 430
AFRILANCE,Chaussures industrielles en toutes matières.,Nabeul,(216) - 28 049 231 / 72 233 360
AHMED SHOES,Chaussures industrielles en toutes matières.,Bizerte,(216) - 52 986 619
ALDOVI PELLETERIA,Fabrication d'articles de voyage et de maroquinerie.,Ariana,(216) - 70 663 266 / 24 917 324
ARBATAX ITALIA,Chaussures industrielles en toutes matières.,Nabeul,(216) - 72 225 802
ASW 3 NADHOUR,Fabrication d'articles de voyage et de maroquinerie.,Zaghouan,(216) - 29 920 650
ASW3,Vêtements en cuir.,Zaghouan,(216) - 20 458 974
AYA SHOES,Chaussures industrielles en toutes matières.,Nabeul,(216) - 72 382 208
AZUR CONCEPT,Chaussures industrielles en toutes matières.,Nabeul,(216) - 72 349 988 / 71 237 010
AZYANO SHOES,Chaussures industrielles en toutes matières.,Nabeul,(216) - 23 913 010
BADR SHOES,Chaussures industrielles en toutes matières.,Nabeul,(216) - 21 228 612 / 98 407 718
