name,activity,governorate,phone,linkedin_url
B AND I CONFECTION,Fabrication d'autres articles confectionnes en textile - Confection de vêtements de travail - Confection de vêtements et accessoires.,Mahdia,(216) - 95 560 461,https://tn.linkedin.com/company/automatisme-confection-services
BACOVET INDUSTRIE,Industries textiles n.c.a - Confection de vêtements de dessus.,Monastir,(216) - 56 831 003 / 73 486 166,https://in.linkedin.com/company/agrocel-industries-limited
BACOVET INTERNATIONAL,Confection de vêtements et accessoires.,Mahdia,(216) - 31 341 600,https://tn.linkedin.com/company/focus-focus-international
BADIS CONFECTION,Confection de vêtements de travail.,Nabeul,(216) - 72 361 313,https://ca.linkedin.com/company/butter-confections
BADIT TUNISIA,Fabrication de pull-overs et articles similaires en mailles.,Nabeul,(216) - 54 386 243 / 72 386 861,https://sa.linkedin.com/company/bayt.com
BAHA CONFECTION,Confection de vêtements de dessous.,Kairouan,(216) - 98 453 301,https://tn.linkedin.com/company/sh-confection
BAKITEX,Confection de vêtements de dessus.,Monastir,(216) - 54 585 997,https://az.linkedin.com/company/ik-tex-mmc
BALY TEXTILE EL HAMMA,Confection de vêtements de dessus.,Gabes,(216) - 29 799 472,https://ae.linkedin.com/company/balygroup
BARHOUMI COUTURE IDEAL,Confection de vêtements de travail.,Gafsa,(216) - 94 957 992,https://in.linkedin.com/company/dyanamic-fashion-private-limited
BARNA TEXTIL,Confection de vêtements de dessus - Confection de vêtements de dessous.,Ariana,(216) - 22 200 567 / 27 585 721,https://es.linkedin.com/company/barna-import-medica-s.a.
BARTEX,Fabrication de linges domestiques divers - Fabrication d'autres articles confectionnes en textile.,Mahdia,(216) - 73 665 087,https://ca.linkedin.com/company/bartex-import-jc
BAYA CO,Confection de vêtements de dessous.,Sousse,(216) - 98 408 400,https://il.linkedin.com/company/bayazicon
BAYA CONFECTION,Confection de vêtements de dessus - Confection de vêtements de dessous.,Manouba,(216) - 70 662 758,https://fr.linkedin.com/company/baya-conception
BB TEX,Confection de vêtements de dessous.,Mahdia,(216) - 73 658 130 / 73 658 131,https://vn.linkedin.com/company/bambootex
BBZ INTERNATIONAL,Confection de vêtements de travail - Confection de vêtements de dessus - Confection de vêtements de dessous.,Sousse,(216) - 29 066 699 / 73 289 666,https://in.linkedin.com/company/lewa-attendorn-gmbh
BCF,Confection de vêtements de dessous.,Sousse,(216) - 31 363 680 / 73 256 263,https://au.linkedin.com/company/boating-camping-fishing
BCF CONFECTION,Confection de vêtements de dessus - Confection de vêtements de dessous.,Sousse,(216) - 73 357 187 / 73 358 099,https://fr.linkedin.com/company/bcf-lifesciences
BE EL ATELIER,Confection de vêtements et accessoires.,Mahdia,(216) - 31 377 790 / 22 087 287,https://fr.linkedin.com/company/be-el-atelier-sarl-tunisie
BEACH FASHION,Confection de vêtements de dessus.,Sfax,(216) - 98 773 469,https://www.linkedin.com/company/beachriot
BEAU JEAN'S,Industries textiles n.c.a.,Monastir,(216) - 58 402 185 / 73 414 014,https://gg.linkedin.com/company/le-beau-jean
BEBE CHBIL,Fabrication de pull-overs et articles similaires en mailles.,Monastir,(216) - 73 479 006 / 73 494 990,https://cl.linkedin.com/company/bebesit-by-merama
BEBE PANGUI,Confection de vêtements de dessus.,Monastir,(216) - 29 907 909 / 73 508 451,https://in.linkedin.com/company/linkedin
BEKALTEX,Fabrication de pull-overs et articles similaires en mailles - Confection de vêtements et accessoires.,Monastir,(216) - 98 405 957 / 73 458 332,https://ca.linkedin.com/company/bellatrx-inc
BELGOTEX,Fabrication de pull-overs et articles similaires en mailles - Confection de vêtements et accessoires.,Monastir,(216) - 73 535 302 / 98 781 897,https://br.linkedin.com/company/belgotex-do-brasil
BEN AYED UNIVERSAL EXPORT,Confection de vêtements de travail.,Manouba,(216) - 71 540 454,https://ae.linkedin.com/company/univesal-exporters
BEN FADHEL CONFECTION,Confection de vêtements de dessus.,Nabeul,(216) - 20 395 789,https://de.linkedin.com/company/cis-confection-id%C3%A9ale-du-sud
BEN GEMMA DESIGN,Finissage textile.,Sousse,(216) - 73 313 911,https://ae.linkedin.com/company/5874commerce
